Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
D3 Quadruple Extra Large,d3.4xlarge,128 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,23760 GB (12×1980 GB NVMe HDD),Yes,N/A,x86_64,Up to 15 Gigabit,2800 Mbps,350 MB/s,15000 IOPS,Yes,40,4,Yes,Yes,Yes,Unknown,Yes,$2.5040 hourly,$1.5780 hourly,$2.9010 hourly,$1.9740 hourly,$2.6290 hourly,$1.6380 hourly,$3.2400 hourly,$2.3140 hourly,$3.5100 hourly,$2.5840 hourly,$5.1600 hourly,$4.2340 hourly,$9.2400 hourly,$8.3140 hourly,$2.7740 hourly,$1.8480 hourly,$4.4240 hourly,$3.4980 hourly,$8.5040 hourly,$7.5780 hourly,$0.2700 hourly
C5AD Extra Large,c5ad.xlarge,8 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,unknown,unknown,unknown,unknown,150 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2260 hourly,$0.1420 hourly,$0.3540 hourly,$0.2700 hourly,$0.2820 hourly,$0.1920 hourly,$0.4100 hourly,$0.3260 hourly,$0.4780 hourly,$0.3940 hourly,$0.8900 hourly,$0.8060 hourly,$1.9100 hourly,$1.8260 hourly,$0.2940 hourly,$0.2100 hourly,$0.7060 hourly,$0.6220 hourly,$1.7260 hourly,$1.6420 hourly,$0.0430 hourly
U-24TB1 112xlarge,u-24tb1.112xlarge,24576 GiB,0 units,448 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8280L (Cascade Lake),unknown,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,38000 Mbps,4750 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5 Large,r5.large,16 GiB,10 units,2 vCPUs,0,,0 GiB,0,0,5.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1510 hourly,$0.0950 hourly,$0.2150 hourly,$0.1590 hourly,$0.2070 hourly,$0.1200 hourly,$0.2430 hourly,$0.1870 hourly,$0.3110 hourly,$0.2550 hourly,$0.7230 hourly,$0.6670 hourly,unavailable,unavailable,$0.2190 hourly,$0.1630 hourly,$0.6310 hourly,$0.5750 hourly,unavailable,unavailable,unavailable
I7IE Double Extra Large,i7ie.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,Yes,Yes,Yes,5000 GB (2×2500 GB NVMe SSD),Yes,No,x86_64,Up to 25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C7G Quadruple Extra Large,c7g.4xlarge,32 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$0.7549 hourly,$0.4984 hourly,$1.1517 hourly,$0.8952 hourly,$0.8799 hourly,$0.5583 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.1450 hourly
R5N 12xlarge,r5n.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.3440 hourly,$2.7370 hourly,$4.8620 hourly,$3.2550 hourly,$4.4690 hourly,$2.7970 hourly,$6.5520 hourly,$4.9450 hourly,$7.3630 hourly,$5.7560 hourly,$12.3120 hourly,$10.7050 hourly,$24.5520 hourly,$22.9450 hourly,$5.1550 hourly,$3.5480 hourly,$10.1040 hourly,$8.4970 hourly,$22.3440 hourly,$20.7370 hourly,$0.2700 hourly
M7GD Double Extra Large,m7gd.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,474 GB NVMe SSD,Yes,No,arm64,Up to 15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5368 hourly,$0.3382 hourly,$0.7920 hourly,$0.5934 hourly,$0.6618 hourly,$0.3981 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.1068 hourly
I7IE Metal-24xl,i7ie.metal-24xl,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,Yes,Yes,Yes,60000 GB (8×7500 GB NVMe SSD),Yes,No,x86_64,Up to 100 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64 GiB,70 units,16 vCPUs,0,,0 GiB,0,0,4.3750 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,600 GB (2×300 GB NVMe SSD),Yes,No,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.1360 hourly,$0.7160 hourly,$1.5330 hourly,$1.1120 hourly,$1.2360 hourly,$0.7490 hourly,$1.8720 hourly,$1.4520 hourly,$2.1420 hourly,$1.7220 hourly,$3.7920 hourly,$3.3720 hourly,$7.8720 hourly,$7.4520 hourly,$1.4060 hourly,$0.9860 hourly,$3.0560 hourly,$2.6360 hourly,$7.1360 hourly,$6.7160 hourly,$0.2260 hourly
M5 General Purpose 12xlarge,m5d.12xlarge,192 GiB,168 units,48 vCPUs,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.4080 hourly,$2.1470 hourly,$4.5980 hourly,$3.3370 hourly,$3.5080 hourly,$2.1800 hourly,$5.6160 hourly,$4.3550 hourly,$6.4270 hourly,$5.1660 hourly,$11.3760 hourly,$10.1150 hourly,$23.6160 hourly,$22.3550 hourly,$4.2190 hourly,$2.9580 hourly,$9.1680 hourly,$7.9070 hourly,$21.4080 hourly,$20.1470 hourly,$0.2700 hourly
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,128 GiB,0 units,16 vCPUs,1,NVIDIA L40S,48 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,600 GB NVMe SSD,Yes,No,x86_64,20 Gigabit,8000 Mbps,1000 MB/s,32000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C7GD 12xlarge,c7gd.12xlarge,96 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,2850 GB (2×1425 GB NVMe SSD),Yes,No,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.8579 hourly,$1.8005 hourly,$3.3763 hourly,$2.3189 hourly,$2.9829 hourly,$1.8604 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.5443 hourly
M6GD Metal,m6gd.metal,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$3.6480 hourly,$2.2848 hourly,$5.2352 hourly,$3.8720 hourly,$3.7730 hourly,$2.3448 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
G4DN 12xlarge,g4dn.12xlarge,192 GiB,0 units,48 vCPUs,4,NVIDIA T4 Tensor Core,64 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,No,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$5.0870 hourly,$3.2050 hourly,$6.2770 hourly,$4.3950 hourly,$5.2120 hourly,$3.2650 hourly,$7.2950 hourly,$5.4130 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2700 hourly
M4 General Purpose Extra Large,m4.xlarge,16 GiB,13 units,4 vCPUs,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,High,750 Mbps,93.75 MB/s,6000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2500 hourly,$0.1680 hourly,$0.3776 hourly,$0.2956 hourly,$0.3500 hourly,$0.2010 hourly,$0.4340 hourly,$0.3520 hourly,$0.5050 hourly,$0.4230 hourly,$0.9140 hourly,$0.8320 hourly,$1.9340 hourly,$1.8520 hourly,$0.3176 hourly,$0.2356 hourly,$0.7300 hourly,$0.6480 hourly,$1.7500 hourly,$1.6680 hourly,$0.0600 hourly
M6IDN Large,m6idn.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,118 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.2012 hourly,$0.1268 hourly,$0.2300 hourly,$0.1556 hourly,$0.2575 hourly,$0.1518 hourly,$0.2932 hourly,$0.2188 hourly,$0.3608 hourly,$0.2864 hourly,$0.7732 hourly,$0.6988 hourly,unavailable,unavailable,$0.2688 hourly,$0.1944 hourly,$0.6812 hourly,$0.6068 hourly,unavailable,unavailable,unavailable
M5A Quadruple Extra Large,m5a.4xlarge,64 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$0.8640 hourly,$0.5440 hourly,$1.0370 hourly,$0.7170 hourly,$0.9890 hourly,$0.6040 hourly,$1.6000 hourly,$1.2800 hourly,$1.8700 hourly,$1.5510 hourly,$3.5200 hourly,$3.2000 hourly,$7.6000 hourly,$7.2800 hourly,$1.1340 hourly,$0.8150 hourly,$2.7840 hourly,$2.4640 hourly,$6.8640 hourly,$6.5440 hourly,$0.1720 hourly
C7I Quadruple Extra Large,c7i.4xlarge,32 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$0.9324 hourly,$0.6156 hourly,$1.3292 hourly,$1.0124 hourly,$1.0574 hourly,$0.6755 hourly,$1.6684 hourly,$1.3516 hourly,$1.9388 hourly,$1.6220 hourly,$3.5884 hourly,$3.2716 hourly,$7.6684 hourly,$7.3516 hourly,$1.2028 hourly,$0.8860 hourly,$2.8524 hourly,$2.5356 hourly,$6.9324 hourly,$6.6156 hourly,$0.1785 hourly
INF1 6xlarge,inf1.6xlarge,48 GiB,0 units,24 vCPUs,4,AWS Inferentia,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8275CL (Cascade Lake),unknown,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,$1.4750 hourly,$0.9300 hourly,$1.7350 hourly,$1.1890 hourly,$1.6000 hourly,$0.9900 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$1.8810 hourly,$1.3350 hourly,$4.3550 hourly,$3.8100 hourly,$10.4750 hourly,$9.9300 hourly,unavailable
M5AD Double Extra Large,m5ad.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,300 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5200 hourly,$0.3280 hourly,$0.6350 hourly,$0.4430 hourly,$0.6450 hourly,$0.3880 hourly,$0.8880 hourly,$0.6960 hourly,$1.0230 hourly,$0.8310 hourly,$1.8480 hourly,$1.6560 hourly,$3.8880 hourly,$3.6960 hourly,$0.6550 hourly,$0.4630 hourly,$1.4800 hourly,$1.2880 hourly,$3.5200 hourly,$3.3280 hourly,$0.1030 hourly
G3S Extra Large,g3s.xlarge,30.5 GiB,13 units,4 vCPUs,1,NVIDIA Tesla M60,8 GiB,5.2,0,3.2500 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,10 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,Yes,$1.1540 hourly,unavailable,$1.2820 hourly,unavailable,$1.2100 hourly,unavailable,$1.3380 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.1880 hourly
M6G Quadruple Extra Large,m6g.4xlarge,64 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,unknown,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$0.7680 hourly,$0.4838 hourly,$0.9408 hourly,$0.6566 hourly,$0.8930 hourly,$0.5438 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.1540 hourly
R7I Metal-48xl,r7i.metal-48xl,1536 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$15.2208 hourly,$10.0574 hourly,$17.0640 hourly,$11.9006 hourly,$15.3458 hourly,$10.1173 hourly,$24.0528 hourly,$18.8894 hourly,$27.2976 hourly,$22.1342 hourly,$47.0928 hourly,$41.9294 hourly,$96.0528 hourly,$90.8894 hourly,$18.4656 hourly,$13.3022 hourly,$38.2608 hourly,$33.0974 hourly,$87.2208 hourly,$82.0574 hourly,unavailable
X2IDN 24xlarge,x2idn.24xlarge,1536 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,75 Gigabit,60000 Mbps,7500 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$14.5058 hourly,$8.9254 hourly,$15.5426 hourly,$9.9622 hourly,$14.6308 hourly,$8.9854 hourly,$18.9217 hourly,$13.3414 hourly,$20.5441 hourly,$14.9638 hourly,$30.4417 hourly,$24.8614 hourly,$54.9218 hourly,$49.3414 hourly,$16.1282 hourly,$10.5478 hourly,$26.0257 hourly,$20.4454 hourly,$50.5057 hourly,$44.9254 hourly,$2.5009 hourly
R6ID 12xlarge,r6id.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.1760 hourly,$2.6309 hourly,$4.6944 hourly,$3.1493 hourly,$4.3010 hourly,$2.6908 hourly,$6.3840 hourly,$4.8389 hourly,$7.1952 hourly,$5.6501 hourly,$12.1440 hourly,$10.5989 hourly,$24.3840 hourly,$22.8389 hourly,$4.9872 hourly,$3.4421 hourly,$9.9360 hourly,$8.3909 hourly,$22.1760 hourly,$20.6309 hourly,$0.9072 hourly
G6 Graphics and Machine Learning GPU 12xlarge,g6.12xlarge,192 GiB,0 units,48 vCPUs,4,NVIDIA L4,96 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,3760 GB (4×940 GB NVMe SSD),Yes,No,x86_64,40 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$5.9830 hourly,$3.8949 hourly,$6.5014 hourly,$4.4133 hourly,$6.1080 hourly,$3.9548 hourly,$8.1910 hourly,$6.1029 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$1.1504 hourly
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,512 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,475 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,20000 Mbps,2500 MB/s,65000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.8353 hourly,$2.9751 hourly,$5.0080 hourly,$3.1479 hourly,$4.9603 hourly,$3.0351 hourly,$5.5713 hourly,$3.7111 hourly,$5.8416 hourly,$3.9815 hourly,$7.4912 hourly,$5.6311 hourly,$11.5712 hourly,$9.7111 hourly,$5.1056 hourly,$3.2455 hourly,$6.7553 hourly,$4.8951 hourly,$10.8353 hourly,$8.9751 hourly,$0.8336 hourly
Z1D 6xlarge,z1d.6xlarge,192 GiB,116 units,24 vCPUs,0,,0 GiB,0,0,4.8333 units,Intel Xeon Platinum 8151,4 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.7120 hourly,$1.7090 hourly,$3.3070 hourly,$2.3040 hourly,$2.8370 hourly,$1.7690 hourly,$3.8160 hourly,$2.8130 hourly,$4.2220 hourly,$3.2180 hourly,$6.6960 hourly,$5.6930 hourly,$12.8160 hourly,$11.8130 hourly,$3.1180 hourly,$2.1140 hourly,$5.5920 hourly,$4.5890 hourly,$11.7120 hourly,$10.7090 hourly,$0.2700 hourly
R8GD Eight Extra Large,r8gd.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,1900 GB NVMe SSD,Yes,No,arm64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M6I Metal,m6i.metal,512 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$7.6800 hourly,$5.0803 hourly,$8.9088 hourly,$6.3091 hourly,$7.8050 hourly,$5.1403 hourly,$13.5680 hourly,$10.9683 hourly,$15.7312 hourly,$13.1315 hourly,$28.9280 hourly,$26.3283 hourly,$61.5680 hourly,$58.9683 hourly,$9.8432 hourly,$7.2435 hourly,$23.0400 hourly,$20.4403 hourly,$55.6800 hourly,$53.0803 hourly,unavailable
T3 Small,t3.small,2 GiB,0 units,2 vCPUs (4h 48m burst),0,,0 GiB,0,0,0.0000 units,Intel Skylake E5 2686 v5,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 5 Gigabit,2085 Mbps,260.625 MB/s,11800 IOPS,Yes,12,3,Yes,Yes,No,Unknown,No,$0.0264 hourly,$0.0166 hourly,$0.0902 hourly,$0.0804 hourly,$0.0574 hourly,$0.0296 hourly,$0.0448 hourly,$0.0350 hourly,$0.1124 hourly,$0.1026 hourly,unavailable,unavailable,unavailable,unavailable,$0.0940 hourly,$0.0842 hourly,unavailable,unavailable,unavailable,unavailable,unavailable
C7GD Double Extra Large,c7gd.2xlarge,16 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,474 GB NVMe SSD,Yes,No,arm64,Up to 15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4763 hourly,$0.3001 hourly,$0.5915 hourly,$0.4153 hourly,$0.6013 hourly,$0.3600 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0907 hourly
T4G Small,t4g.small,2 GiB,0 units,2 vCPUs (4h 48m burst),0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 5 Gigabit,2085 Mbps,260.625 MB/s,11800 IOPS,Yes,12,3,Yes,Yes,No,Unknown,No,$0.0212 hourly,$0.0134 hourly,$0.0850 hourly,$0.0772 hourly,$0.0525 hourly,$0.0264 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU 12xlarge,c5d.12xlarge,96 GiB,188 units,48 vCPUs,0,,0 GiB,0,0,3.9167 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.0240 hourly,$1.9050 hourly,$4.2140 hourly,$3.0960 hourly,$3.1240 hourly,$1.9380 hourly,$5.2320 hourly,$4.1130 hourly,$6.0430 hourly,$4.9240 hourly,$10.9920 hourly,$9.8730 hourly,$23.2320 hourly,$22.1130 hourly,$3.8350 hourly,$2.7160 hourly,$8.7840 hourly,$7.6650 hourly,$21.0240 hourly,$19.9050 hourly,$0.2700 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,31 units,8 vCPUs,0,,0 GiB,0,0,3.8750 units,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,High,1000 Mbps,125 MB/s,8000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5220 hourly,$0.3360 hourly,$0.7750 hourly,$0.5910 hourly,$0.6220 hourly,$0.3690 hourly,$0.8900 hourly,$0.7040 hourly,$1.4200 hourly,$0.8450 hourly,$3.1430 hourly,$2.6230 hourly,$3.8900 hourly,$3.7040 hourly,$0.6550 hourly,$0.4710 hourly,$1.4800 hourly,$1.2960 hourly,$3.5200 hourly,$3.3360 hourly,$0.1050 hourly
C7GD Metal,c7gd.metal,128 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$3.8106 hourly,$2.4007 hourly,$5.3978 hourly,$3.9879 hourly,$3.9356 hourly,$2.4606 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
